Knowles Corporation,楼氏
Knowles Corporation,电子
Hudson Group,翰德
Carestream,锐珂
Carestream,医疗
"HCA Healthcare, Inc.",医疗
"HCA Healthcare, Inc.",保健
OMV AG,奥地利
OMV AG,石油
OMV AG,天然气
Nippon Express,日本
Nippon Express,通运
Nippon Express,日通
Dollar General Corporation,多来店
Dollar General Corporation,达乐
San Miguel Corporation,生力
PlayStation,游戏站
Portland General Electric,波特兰
Portland General Electric,通用
Portland General Electric,电气
Diebold Nixdorf,迪堡
Diebold Nixdorf,多富
WSP USA,科进
WSP USA,大中华
Yahoo!,雅虎
RATP Group,巴黎
RATP Group,大众
RATP Group,运输
BlueFocus Communication Group,蓝色
BlueFocus Communication Group,光标
BlueFocus Communication Group,传播
Facebook,脸书
First Hawaiian Bank,第一
First Hawaiian Bank,夏威夷
Hong Kong Disneyland,香港
Hong Kong Disneyland,迪士尼
Hong Kong Disneyland,迪斯尼
Hong Kong Disneyland,乐园
Massachusetts Mutual Life Insurance Company,美国
Massachusetts Mutual Life Insurance Company,万通
Massachusetts Mutual Life Insurance Company,互惠
Massachusetts Mutual Life Insurance Company,理财
Massachusetts Mutual Life Insurance Company,保险
General Atomics,通用
General Atomics,原子
Infor,恩富
Infor,软件
Ecovacs Robotics,科沃斯
Global Sources,环球
Global Sources,资源
Shen Me Zhi De Mai,什么
Shen Me Zhi De Mai,值得买
KB Financial Group Inc.,金融
Herbalife Nutrition,康宝莱
Qorvo,科沃
Volvo Cars,沃尔沃
Volvo Cars,汽车
The Kraft Heinz Company,卡夫
The Kraft Heinz Company,食品
The Kraft Heinz Company,卡夫亨氏
JBS S.A.,巴西
Weibo,新浪
Weibo,微博
Tennessee Valley Authority,田纳西河
Tennessee Valley Authority,流域
Tennessee Valley Authority,管理局
Intertek,天祥
Parexel International,精鼎
Parexel International,医药
Taco Bell,塔
Taco Bell,可
Taco Bell,钟
Petroleum Development Oman,阿曼
Petroleum Development Oman,石油
Petroleum Development Oman,开发
Two Sigma Investments,管理
Two Sigma Investments,席斯
Two Sigma Investments,投资
European Bank for Reconstruction and Development,欧洲
European Bank for Reconstruction and Development,复兴
European Bank for Reconstruction and Development,开发
European Bank for Reconstruction and Development,银行
Goertek Inc.,歌尔
TCL Communication Technology Holdings,通讯
TCL Communication Technology Holdings,科技
Daxin Materials Corp.,达兴
Daxin Materials Corp.,材料
The University of Tokyo,东京
The University of Tokyo,大学
Goodix,深圳市
Goodix,汇顶
China Investment Corporation,中国
China Investment Corporation,投资
China Investment Corporation,中投
Dentons,大成
Dentons,律师
Dentons,事务所
Caixin Media,财新
Caixin Media,传媒
NV Bekaert SA,贝卡尔特
"Advantech Co., Ltd.",研华股份有限公司
"Advantech Co., Ltd.",研华
"Advantech Co., Ltd.",科技
Analog Devices,亚德诺
Analog Devices,半导体
Analog Devices,亚德诺半导体技术有限公司
Asea Brown Boveri,阿西布朗
Asea Brown Boveri,勃法瑞
Asea Brown Boveri,瑞典
Asea Brown Boveri,通用电气
Asea Brown Boveri,布朗
Asea Brown Boveri,博韦里
Asea Brown Boveri,瑞典通用电气布朗
Asea Brown Boveri,博韦里
Asea Brown Boveri,瑞士
AT&T Inc.,美国
AT&T Inc.,电话
AT&T Inc.,电报
AT&T Inc.,美国电话电报公司
Accton Technology Corporation,智邦科技
Accton Technology Corporation,智邦
Accton Technology Corporation,科技
Alpha Networks Inc.,明泰
Alpha Networks Inc.,科技
Alpha Networks Inc.,明泰科技
支付宝(中国)网络技术有限公司,支付宝
支付宝(中国)网络技术有限公司,中国
支付宝(中国)网络技术有限公司,网络技术有限公司
支付宝(中国)网络技术有限公司,支付宝
Air Products and Chemicals,空气
Air Products and Chemicals,化工
Air Products and Chemicals,产品
Air Products and Chemicals,空气化工
Asiana Airlines,韩亚
Asiana Airlines,航空
亚信科技控股有限公司,亚信
亚信科技控股有限公司,科技
Braun GmbH,博朗
Braun GmbH,博朗公司
Bridgestone Corporation,普利司通股份有限公司
Bridgestone Corporation,普利司
Bridgestone Corporation,通
Bridgestone Corporation,轮胎
Chanel,香奈儿
CPC Corporation,台湾
CPC Corporation,中油
CPC Corporation,台湾中油股份有限公司
Bureau Veritas S.A.,必维国际检验集团
Bureau Veritas S.A.,必维
Bureau Veritas S.A.,国际
Bureau Veritas S.A.,检验
"Amkor Technology, Inc.",艾克尔
"Amkor Technology, Inc.",国际
"Amkor Technology, Inc.",科技
"Amkor Technology, Inc.",艾克尔国际科技股份有限公司
Clarins Group,娇韵诗
Comcast Corporation,美国
Comcast Corporation,康卡斯特
Comcast Corporation,电信
Comcast Corporation,康卡斯特集团
东亚银行有限公司,东亚
东亚银行有限公司,银行
Cathay Financial Holding,国泰
Cathay Financial Holding,金融
Cathay Financial Holding,国泰金融控股股份有限公司
Covance Inc.,科文斯
DBS Bank Ltd,星展
DBS Bank Ltd,银行
DBS Bank Ltd,星展银行有限公司
Edeka Group,埃德卡超市
Edeka Group,埃德卡
Edeka Group,德国
Edeka Group,艾德卡
Edelman,爱德曼国际公关
Edelman,爱德曼
Edelman,国际
Edelman,公关
Beyondsoft,博彦
Beyondsoft,科技
Beyondsoft,博彦科技股份有限公司
Beiersdorf AG,拜尔斯道夫
Beiersdorf AG,拜尔斯道夫股份公司
Freddie Mac,联邦
Freddie Mac,住房
Freddie Mac,抵押
Freddie Mac,贷款
Freddie Mac,房贷美
Freddie Mac,房地美
Banco Bradesco S.A.,巴西
Banco Bradesco S.A.,布拉德斯科
Banco Bradesco S.A.,银行
Banco Bradesco S.A.,布拉德斯科银行
Inventec Corporation,英华达
Inventec Corporation,英业达股份有限公司
Inventec Corporation,英业
Inventec Corporation,达
Bestseller,绫致
Bestseller,时装
Bestseller,绫致时装
CMA CGM S.A.,达飞海运集团
CMA CGM S.A.,法国
CMA CGM S.A.,达飞
